Group,Avg_norm_rrs
r401_409,405
r412_419,415
r422_430,426
r432_440,436
r442_450,446
r453_461,457
r463_471,467
r473_481,477
r484_491,487
r494_502,498
r504_512,508
r515_522,518
r525_532,528
r535_543,539
r545_553,549
r555_563,559
r566_573,569
r576_584,580
r586_594,590
r596_604,600
r607_614,610
r617_625,621
r627_635,631
r637_645,641
r647_655,651
r658_665,662
r668_676,672
r678_686,682
r688_696,692
r699_707,703
r709_716,712
r719_727,723
r729_737,733
r739_747,743
r750_758,754
r767_775,771
r778_785,781
r788_796,792
r798_807,803
r809_817,813
r820_827,823
r829_837,833
r840_848,844
r850_858,854
r860_868,864
r870_879,875
r881_888,884
r891_898,894
r904_912,908
r918_927,922
r968_976,972
r979_985,983
r989_993,991
r996_1000,998