date,x,y,transverse_mercator,lon,lat,rhow_401,rhow_412,rhow_443,rhow_490,rhow_510,rhow_560,rhow_620,rhow_665,rhow_674,rhow_681,rhow_709,rhow_754,rhow_768,rhow_779,rhow_865,rhow_884,rhow_1016,l2_flags,geometry,rhow_400,rhow_682
2022_08_22,304650,4773750,9.97E+36,-89.40209,43.092613,0.018358923,0.016082102,0.017492047,0.019067414,0.02253619,0.032294363,0.018321618,0.014715882,0.013356336,0.01322891,0.013780805,0.012908601,0.010534646,0.01227958,0.009234161,0.008252628,0.007882212,0,POINT (-89.40209197998047 43.092613220214844),NA,NA
2021_06_11,304650,4774650,9.97E+36,-89.402405,43.10071,0.034443334,0.026195845,0.023667928,0.019956231,0.02130913,0.031194882,0.01410288,0.010776333,0.010021053,0.010196433,0.011363686,0.023135979,0.022809358,0.021230944,0.01627492,0.013575943,0.013152975,0,POINT (-89.40240478515625 43.100711822509766),NA,NA
2021_06_15,304650,4773750,9.97E+36,-89.40209,43.092613,NA,0.012912178,0.018148346,0.021753771,0.025117548,0.04084983,0.021493547,0.018462073,0.017049931,NA,0.020921106,0.018749915,0.019424673,0.017407838,0.012236774,0.010709346,0.012450035,0,POINT (-89.40209197998047 43.092613220214844),0.013430716,0.017338654
2021_08_15,304650,4773750,9.97E+36,-89.40209,43.092613,NA,0.01498683,0.018185236,0.025269412,0.031680387,0.057196856,0.028765619,0.023390759,0.020359375,NA,0.026714047,0.01672724,0.01651721,0.015648067,0.010004738,0.0081921,0.006654576,0,POINT (-89.40209197998047 43.092613220214844),0.016785877,0.02011523
2021_12_13,304650,4773750,9.97E+36,-89.40209,43.092613,NA,0.015499252,0.02496093,0.029159153,0.032994512,0.040513307,0.031558614,0.028089948,0.027634794,NA,0.03124733,0.027512306,0.029462893,0.026505494,0.02539544,0.02504216,0.02763155,0,POINT (-89.40209197998047 43.092613220214844),0.016796425,0.028550243
2022_06_16,304650,4773750,9.97E+36,-89.40209,43.092613,NA,0.00606556,0.011588471,0.016561203,0.020628648,0.033522416,0.017539855,0.014491297,0.01341466,NA,0.015633048,0.014178555,0.013372853,0.013014254,0.009631801,0.008511798,0.010081464,0,POINT (-89.40209197998047 43.092613220214844),0.006801093,0.013984397
2022_06_23,304650,4773750,9.97E+36,-89.40209,43.092613,NA,0.007665083,0.011697068,0.018173646,0.02262843,0.037493892,0.021045705,0.015189387,0.013617125,NA,0.015059787,0.009926815,0.009805393,0.009156258,0.00583792,0.00488875,0.003867846,0,POINT (-89.40209197998047 43.092613220214844),0.009315662,0.013598247
2022_08_31,304650,4773750,9.97E+36,-89.40209,43.092613,NA,0.011013177,0.013106528,0.016565474,0.019547183,0.0272926,0.017037272,0.01437974,0.013289202,NA,0.012808545,0.011006607,0.011259447,0.010241765,0.007979279,0.007222855,0.007589266,0,POINT (-89.40209197998047 43.092613220214844),0.011108873,0.013111193
2020_12_25,304650,4773750,9.97E+36,-89.40209,43.092613,0.015939752,0.012328363,0.017800976,0.02021745,0.021085542,0.024638562,0.015846644,0.014112216,0.01402655,0.014027418,0.014801743,0.010727201,0.011724314,0.009622213,0.007933965,0.007384223,0.008446702,0,POINT (-89.40209197998047 43.092613220214844),NA,NA
2021_06_05,304650,4773750,9.97E+36,-89.40209,43.092613,0.006756039,0.00469845,0.01083917,0.015004473,0.01765766,0.023574261,0.015546055,0.014115895,0.014100664,0.014299687,0.016871832,0.027165292,0.028110785,0.026893437,0.026927793,0.026343815,0.028480133,0,POINT (-89.40209197998047 43.092613220214844),NA,NA
2021_09_05,304650,4773750,9.97E+36,-89.40209,43.092613,0.004411279,0.003541069,0.007013415,0.012199489,0.016330423,0.027288442,0.014641558,0.012875971,0.011068993,0.011440915,0.012724636,0.010471446,0.007691254,0.010145087,0.007710376,0.007196899,0.006043873,0,POINT (-89.40209197998047 43.092613220214844),NA,NA
2021_11_02,304650,4773750,9.97E+36,-89.40209,43.092613,0.021360455,0.018775282,0.020982971,0.020981392,0.021690775,0.024754085,0.01754179,0.015275075,0.014759278,0.014967922,0.0146729,0.011480528,0.010069084,0.010653724,0.007712657,0.006604313,0.00784618,0,POINT (-89.40209197998047 43.092613220214844),NA,NA
2022_05_13,304650,4773750,9.97E+36,-89.40209,43.092613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,POINT (-89.40209197998047 43.092613220214844),NA,NA
2022_06_02,304650,4773750,9.97E+36,-89.40209,43.092613,0.011113992,0.010871543,0.014482486,0.01757003,0.019423291,0.024161853,0.013572401,0.011272346,0.010971225,0.011109066,0.010916856,0.011290684,0.009251698,0.010677004,0.00877955,0.008399046,0.008800282,0,POINT (-89.40209197998047 43.092613220214844),NA,NA
2022_07_27,307650,4771050,9.97E+36,-89.36433,43.069088,NA,0.045676373,0.044373006,0.0447953,0.04969108,0.06746971,0.0435474,0.037685927,0.03586697,NA,0.03340196,0.033142503,0.030327039,0.030797489,0.023589933,0.02037499,0.031224875,0,POINT (-89.36432647705078 43.069087982177734),0.05270459,0.03525377
2022_08_22,304650,4773750,9.97E+36,-89.40209,43.092613,0.018358923,0.016082102,0.017492047,0.019067414,0.02253619,0.032294363,0.018321618,0.014715882,0.013356336,0.01322891,0.013780805,0.012908601,0.010534646,0.01227958,0.009234161,0.008252628,0.007882212,0,POINT (-89.40209197998047 43.092613220214844),NA,NA